,Full Name,firstName,yearsPro,lastName,Position,Team,totalSalary,overall_rating,rating_per_million,Acquisition Method
0,Scott Quessenberry,Scott,4,Quessenberry,C,Texans,400000,65,162.5,Free Agent
1,Dontae Johnson,Dontae,8,Johnson,CB,49ers,340000,70,205.88235294117646,Free Agent
2,Solomon Thomas,Solomon,5,Thomas,DT,Jets,340000,74,217.6470588235294, Free Agent
3,Andy Janovich,Andy,6,Janovich,FB,Texans,750000,78,104.0,Drafted
4,Jabrill Peppers,Jabrill,5,Peppers,FS,Patriots,400000,80,200.0,Drafted
5,Rashaad Penny,Rashaad,4,Penny,HB,Seahawks,400000,78,195.0,Drafted
6,Eddy Pineiro,Eddy,4,Pineiro,K,Jets,480000,71,147.91666666666669,Drafted
7,William Gholston,William,9,Gholston,LE,Buccaneers,400000,76,190.0,Drafted
8,Ike Boettger,Ike,4,Boettger,LG,Bills,500000,67,134.0,Drafted
9,Kyler Fackrell,Kyler,6,Fackrell,LOLB,Raiders,420000,73,173.80952380952382,Drafted
10,Geron Christian Sr,Geron,4,Christian Sr,LT,Chiefs,500000,71,142.0,Drafted
11,Josh Bynes,Josh,11,Bynes,MLB,Ravens,450000,74,164.44444444444443,Drafted
12,Thomas Morstead,Thomas,13,Morstead,P,Dolphins,500000,80,160.0,Drafted
13,Andy Dalton,Andy,11,Dalton,QB,Saints,400000,70,175.0,Drafted
14,Jarran Reed,Jarran,6,Reed,RE,Packers,400000,73,182.5,Drafted
15,Will Hernandez,Will,4,Hernandez,RG,Cardinals,500000,72,144.0,Drafted
16,Kyzir White,Kyzir,4,White,ROLB,Eagles,500000,79,158.0,Drafted
17,Chris Hubbard,Chris,9,Hubbard,RT,Browns,270000,67,248.14814814814812,Drafted
18,Kareem Jackson,Kareem,11,Jackson,SS,Broncos,300000,81,270.0,Drafted
19,Austin Hooper,Austin,6,Hooper,TE,Titans,500000,79,158.0,Drafted
20,Jarvis Landry,Jarvis,8,Landry,WR,Saints,500000,83,166.0,Drafted
